Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_Wildtype_1_30_S1.sorted_PDUI	Synthego_Wildtype_1_32_S3.sorted_PDUI	Synthego_Wildtype_2_2_S5.sorted_PDUI	Synthego_Wildtype_24hour_A_S58.sorted_PDUI	Synthego_Wildtype_24hour_B_S53.sorted_PDUI	Synthego_Wildtype_24hour_C_S48.sorted_PDUI	Synthego_Wildtype_4hour_A1_S45.sorted_PDUI	Synthego_Wildtype_4hour_A2_S46.sorted_PDUI	Synthego_Wildtype_4hour_B_S51.sorted_PDUI	Synthego_Wildtype_4hour_C_S52.sorted_PDUI	Synthego_Wildtype_Control_A_S44.sorted_PDUI	Synthego_Wildtype_Control_B_S60.sorted_PDUI	Synthego_Wildtype_Control_C_S47.sorted_PDUI	Synthego_Wildtype_Cytoplasm1_S68.sorted_PDUI	Synthego_Wildtype_Cytoplasm2_S69.sorted_PDUI	Synthego_Wildtype_Cytoplasm3_S70.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24.sorted_PDUI	Synthego_Wildtype_Nuclear1_S62.sorted_PDUI	Synthego_Wildtype_Nuclear2_S63.sorted_PDUI	Synthego_Wildtype_Nuclear3_S64.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12.sorted_PDUI	mean	sd
NM_001128914.2|PCBP2|chr12|+	545696.4	53479605	chr12:53479406-53479669	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_006719430.3|CNOT2|chr12|+	808.7	70353980	chr12:70353829-70354650	0.06	0.07	0.04	0.07	0.02	0.02	0.02	0.06	0.02	0.07	0.04	0.02	0.05	0.04	0.11	0.04	0.03	0.04	0.04	0.04	0.08	0.01	0.03	0.05	0.05	0.04	0.06	0.03	0.03	0.05	0.03	0.03	0.01	0.03	0.0420588235294118	0.0214305660730261
XM_011538400.3|CNOT2|chr12|+	617.8	70353980	chr12:70353829-70354913	0.09	0.09	0.06	0.07	0.03	0.04	0.04	0.05	0.04	0.07	0.05	0.03	0.04	0.04	0.11	0.05	0.05	0.07	0.04	0.05	0.08	0.03	0.05	0.07	0.06	0.04	0.06	0.02	0.03	0.05	0.03	0.05	0.02	0.03	0.0508823529411765	0.0209425834212617
XM_017019353.1|CNOT2|chr12|+	576.7	70353980	chr12:70353829-70354993	0.09	0.1	0.06	0.08	0.03	0.04	0.04	0.06	0.04	0.07	0.06	0.03	0.05	0.04	0.1	0.05	0.05	0.08	0.05	0.05	0.08	0.03	0.05	0.08	0.07	0.04	0.06	0.03	0.03	0.05	0.03	0.06	0.03	0.03	0.0541176470588235	0.021050825515926
XM_011521041.2|CACNA2D4|chr12|-	18986.4	1795230	chr12:1795109-1795381	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0.588235294117647	0.499554168435642
NM_002223.4|ITPR2|chr12|-	617.9	26336511	chr12:26335352-26339483	0	0	0	0	0	0.02	0	0	0.01	0	0.02	0	0	0.1	0	0	0	0.01	0.05	0.03	0	0.05	0.03	0.04	0	0	0.02	0	0	0.02	0.01	0	0	0.04	0.0132352941176471	0.0219807888897078
XM_017019267.1|ITPR2|chr12|-	57.5	26339324	chr12:26336761-26339483	0	0	0	0	0	0.09	0	0	0.17	0	0.18	0	0.16	0.3	0	0	0.24	0.27	0.27	0.24	0	0.29	0.24	0.22	0	0	0.17	0	0	0.29	0.2	0	0	0.23	0.104705882352941	0.119245997178678
NM_001143789.2|PPHLN1|chr12|+	21273.3	42441961	chr12:42441315-42442181	0.03	0.01	0.01	0.02	0.01	0.06	0	0.02	0.05	0.01	0.04	0.04	0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.01	0.04	0.02	0.01	0.01	0.03	0.01	0.01	0	0.03	0.02	0.01	0.02	0.01	0.01	0.0188235294117647	0.0140916278351567
NR_157844.1|SCAT2|chr12|+	30.3	54278803	chr12:54278652-54279063	0	0	0	0	0.2	0	0	0.27	0	0	0	0	0	0.15	0.04	0.12	0	0	0	0	0	0	0.08	0	0.09	0	0.14	0	0.06	0	0.05	0.05	0	0	0.0367647058823529	0.0670016095797296
NM_006431.3|CCT2|chr12|+	603901.9	69601446	chr12:69601295-69601570	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001244992.1|PPP1R12A|chr12|-	48.8	79775864	chr12:79773563-79776015	0.2	0.23	0	0.11	0.09	0.1	0.07	0.08	0.13	0.04	0.21	0.05	0.13	0	0	0	0.11	0.1	0.12	0.13	0.07	0.06	0.09	0.13	0.05	0.07	0.09	0.04	0.06	0.02	0.03	0.04	0.05	0.04	0.0805882352941177	0.0577844047572966
NM_001143886.2|PPP1R12A|chr12|-	48.1	79775864	chr12:79773568-79776015	0.2	0.22	0	0.1	0.08	0.1	0.07	0.07	0.12	0.03	0.2	0.04	0.13	0	0	0	0.11	0.09	0.11	0.13	0.07	0.06	0.08	0.13	0.05	0.07	0.09	0.04	0.06	0.02	0.03	0.04	0.04	0.04	0.0770588235294118	0.0562208530149222
NM_001330242.2|ACSS3|chr12|+	440.4	81255025	chr12:81254857-81257975	0.24	0.1	0.16	0.49	0.32	0.34	0	0.39	0.32	0.47	0.2	0.35	0.34	0.3	0.48	0.14	0.37	0.43	0.38	0.34	0.34	0.36	0.31	0.43	0.31	0	0	0.6	0.37	0.22	0.2	0.18	0.17	0.21	0.29	0.143569220977622
NM_152435.3|AMDHD1|chr12|+	955.8	95967907	chr12:95967756-95968720	0	0.67	1	0.56	0.38	0.49	0	0	1	0	0.68	0.88	0.76	0	0	0.52	0.89	0.95	0.72	0.75	0.61	1	0.76	0.71	0.65	0	0	0	0	0	0.65	0.72	0	0.6	0.469117647058824	0.377474603978654
NM_024057.4|NUP37|chr12|-	1264.3	102074189	chr12:102073103-102074467	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.04	0.01	0	0	0	0.01	0	0	0.00382352941176471	0.00779071159559738
XR_944712.2|NUP37|chr12|-	3421.1	102074189	chr12:102073962-102074467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0	0.00117647058823529	0.00409338407999805
NM_003299.3|HSP90B1|chr12|+	15584592.2	103947784	chr12:103947633-103947926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_152318.3|NOPCHAP1|chr12|+	5.6	104994720	chr12:104994478-105017625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0.00117647058823529	0.00537373290623879
NM_001282150.2|VPS29|chr12|-	4398.4	110491926	chr12:110491083-110492122	0.11	0.06	0.08	0.12	0.1	0.13	0.13	0.17	0.13	0.15	0.16	0.15	0.08	0.1	0.1	0.11	0.1	0.13	0.14	0.14	0.17	0.13	0.09	0.12	0.09	0.16	0.15	0.2	0.1	0.14	0.12	0.09	0.16	0.12	0.124411764705882	0.030963436547839
XM_017019457.2|VPS29|chr12|-	6992.6	110491926	chr12:110491525-110492122	0.18	0.1	0.15	0.2	0.17	0.22	0.23	0.28	0.22	0.24	0.26	0.26	0.14	0.18	0.15	0.18	0.17	0.21	0.23	0.23	0.27	0.21	0.16	0.19	0.15	0.21	0.25	0.35	0.17	0.25	0.21	0.16	0.26	0.21	0.207352941176471	0.0497453407916891
XM_017019459.2|VPS29|chr12|-	6994.9	110491926	chr12:110491527-110492122	0.17	0.1	0.14	0.2	0.17	0.21	0.23	0.28	0.22	0.24	0.25	0.25	0.14	0.17	0.15	0.17	0.16	0.21	0.23	0.22	0.27	0.2	0.15	0.18	0.14	0.21	0.24	0.34	0.16	0.25	0.21	0.15	0.25	0.2	0.201764705882353	0.0499982174370304
NM_001204889.2|ALDH2|chr12|+	3823.9	111809980	chr12:111809543-111817532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.000294117647058824	0.00171498585142509
XM_011538503.1|TESC|chr12|-	54268.2	117039059	chr12:117038923-117039210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001346489.2|TAOK3|chr12|-	1004.7	118150956	chr12:118149801-118151158	0.02	0.01	0.01	0.01	0.01	0.01	0	0.02	0.01	0.02	0.01	0.01	0.01	0.03	0.06	0.03	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.03	0.02	0.04	0.01	0.02	0.01	0.01	0.01	0.01	0.0173529411764706	0.0110943129109527
NM_001346493.2|TAOK3|chr12|-	84.7	118149930	chr12:118149801-118150082	0.07	0.15	0.33	0.33	0.19	0.16	0	0.18	0.13	0.09	0.49	0.07	0.13	0.03	0.09	0.07	0.06	0.2	0.09	0.03	0.02	0.21	0.14	0.11	0.13	0.16	0	0.04	0.17	0.14	0.27	0.27	0.15	0.18	0.143529411764706	0.104703979633816
XM_005253898.2|TAOK3|chr12|-	1110.9	118150956	chr12:118149932-118151158	0.02	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0.03	0.05	0.03	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.04	0.02	0.03	0	0.02	0	0.01	0	0.01	0.0129411764705882	0.0119416286805306
NM_176818.3|GATC|chr12|+	6.4	120460067	chr12:120459907-120461672	0	0.03	0	0	0	0	0	0	0	0	0	0	0.04	0	0.07	0.09	0	0	0.03	0	0	0.15	0	0	0	0	0.2	0.09	0	0	0.08	0.05	0.03	0.07	0.0273529411764706	0.0480724720276056
XM_017020254.2|KNTC1|chr12|+	973.7	122626359	chr12:122626205-122626409	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.823529411764706	0.386952994975947
NM_001351050.2|STX2|chr12|-	90.3	130798484	chr12:130798390-130798635	0	0	0	0	0	0	0.35	0	0	0	0	1	0	0	0	0	1	0.35	0.65	0.94	0	0.47	0.68	0.42	0	0.09	0.63	0	0	0.92	0.62	0.85	1	0.6	0.310882352941176	0.383092422166725
NM_005002.5|NDUFA9|chr12|+	1976.2	4687233	chr12:4686938-4694317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_016497.4|MRPL51|chr12|-	36629.1	6492149	chr12:6491886-6492467	0.02	0.01	0.01	0.01	0.03	0.02	0.01	0.03	0.02	0.02	0.02	0.02	0.01	0.03	0.02	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.0191176470588235	0.00621222990209685
NM_001357943.2|GAPDH|chr12|+	3818982.4	6538252	chr12:6538101-6538371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001301836.2|C12orf57|chr12|+	24085.7	6945944	chr12:6945771-6946002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001301834.1|C12orf57|chr12|+	23844.6	6945947	chr12:6945771-6946003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001144831.2|PHB2|chr12|-	3374301.8	6965561	chr12:6965327-6965712	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0.852941176470588	0.359490627953571
NM_001267700.1|PHB2|chr12|-	2319867.1	6965561	chr12:6965352-6965712	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0.852941176470588	0.359490627953571
NM_001320049.2|EMG1|chr12|+	38260.5	6975977	chr12:6975696-6976185	0.03	0.03	0.04	0.03	0	0.02	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.04	0.02	0.02	0.02	0.03	0.01	0.02	0.03	0.04	0.02	0.03	0.02	0.02	0.02	0.01	0.03	0.02	0.02	0.03	0.03	0.02	0.0252941176470588	0.00895622151039798
NM_001300739.2|MAGOHB|chr12|-	307.2	10606012	chr12:10604190-10606374	0.06	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.08	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0	0.02	0	0.01	0	0.03	0.03	0.0117647058823529	0.0259919087917403
NM_018048.5|MAGOHB|chr12|-	307.6	10606012	chr12:10604193-10606374	0.06	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.08	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0	0.02	0	0.01	0	0.03	0.03	0.0117647058823529	0.0259919087917403
XM_005253402.2|MAGOHB|chr12|-	529.2	10606012	chr12:10605110-10606374	0.09	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.18	0	0	0.01	0	0.01	0	0	0	0	0	0	0.23	0	0.04	0	0.03	0	0.06	0.06	0.0241176470588235	0.053830128268911
NM_021071.4|ART4|chr12|-	31.6	14829310	chr12:14825569-14829462	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0.14	0	0	0.08	0.06	0	0.1	0	0.07	0.1	0.08	0.05	0	0	0	0	0.09	0.08	0	0	0	0.0279411764705882	0.0413249804681767
NM_033360.4|KRAS|chr12|-	40.1	25209760	chr12:25205246-25209911	0.08	0.19	0	0	0.05	0.11	0.04	0.03	0.07	0.04	0	0.04	0.08	0.18	0	0.18	0.1	0.07	0.07	0.09	0.06	0.08	0.06	0.05	0.12	0.1	0.07	0.05	0.06	0.04	0.04	0.05	0.04	0.1	0.0688235294117647	0.0475308324737809
NM_001190864.2|MRPS35|chr12|+	169	27755543	chr12:27755181-27756295	0	0	0.35	0.45	0.18	0.29	0.33	0.36	0.2	0.29	0.42	0.22	0.26	0.99	0.91	0	0.27	0.43	0.37	0.34	0.15	0.35	0.19	0.26	0.24	0.53	0.49	0.54	0.24	0.14	0.14	0.1	0.07	0.16	0.301764705882353	0.218472251732763
NM_001143781.2|FKBP11|chr12|-	1574	48922035	chr12:48921963-48922201	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0.764705882352941	0.430561545202046
NM_003217.3|TMBIM6|chr12|+	9529.1	49763024	chr12:49762873-49764934	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.0138235294117647	0.00551290820372923
XM_024449172.1|TMBIM6|chr12|+	10360	49763024	chr12:49762873-49764740	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.0102941176470588	0.00171498585142509
NM_002273.4|KRT8|chr12|-	39681.7	52897467	chr12:52897191-52897618	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0.588235294117647	0.499554168435642
NM_001330654.2|EIF4B|chr12|+	977.5	53040330	chr12:53040143-53042215	0.09	0.1	0.07	0.09	0.1	0.13	0.12	0.15	0.09	0.09	0.11	0.1	0.1	0.28	0.35	0.26	0.11	0.1	0.07	0.08	0.09	0.06	0.07	0.09	0.06	0.36	0.23	0.2	0.08	0.12	0.07	0.08	0.08	0.07	0.125	0.079401167841194
NM_021640.4|MYG1|chr12|+	21532.1	53307117	chr12:53306966-53307177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_011538778.2|AAAS|chr12|-	2842.8	53307562	chr12:53307456-53307713	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0.352941176470588	0.485071250072666
NM_015665.6|AAAS|chr12|-	2682.4	53307562	chr12:53307460-53307713	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0.352941176470588	0.485071250072666
XR_001748875.2|AAAS|chr12|-	1885.8	53307562	chr12:53307486-53307713	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0.352941176470588	0.485071250072666
XM_017019461.1|ATP5MC2|chr12|-	3262872.8	53665277	chr12:53665166-53665428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001330269.2|ATP5MC2|chr12|-	3254412.4	53665277	chr12:53665170-53665428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_017019119.2|SMUG1|chr12|-	87.6	54181457	chr12:54180366-54181647	0.01	0	0.01	0.01	0.01	0.02	0	0.01	0.01	0	0	0.04	0	0.02	0.01	0.01	0.02	0.02	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0.02	0	0.00735294117647059	0.00931236503808219
NM_002136.4|HNRNPA1|chr12|+	396367.3	54285244	chr12:54284549-54287087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.000294117647058824	0.00171498585142509
NM_001487.4|BLOC1S1|chr12|+	3478.3	55719650	chr12:55719499-55719703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001257401.2|CD63|chr12|-	555597.1	55725473	chr12:55725323-55725626	0.1	0.09	0.1	0.08	0.08	0.08	0.09	0.09	0.08	0.09	0.08	0.08	0.09	0.12	0.12	0.13	0.09	0.09	0.09	0.08	0.08	0.08	0.08	0.09	0.09	0.11	0.11	0.15	0.09	0.07	0.08	0.08	0.08	0.08	0.0917647058823529	0.0171394615090429
NM_033082.4|SARNP|chr12|-	3831.9	55757402	chr12:55757270-55757553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.970588235294118	0.171498585142509
NM_014182.5|ORMDL2|chr12|+	2014.4	55820477	chr12:55820260-55820985	0.06	0	0.07	0.05	0	0.03	0	0.07	0	0	0.05	0.03	0.03	0	0	0	0.04	0.08	0.1	0.06	0.01	0.05	0.03	0	0.05	0	0.03	0	0	0	0	0.05	0	0.06	0.0279411764705882	0.0297239227971808
NM_001029.5|RPS26|chr12|+	46217.5	56044270	chr12:56044119-56044697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_021104.2|RPL41|chr12|+	23320549.1	56117831	chr12:56117482-56117967	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00970588235294118	0.00171498585142509
XM_011538200.2|SLC39A5|chr12|+	104283.4	56237739	chr12:56237588-56237807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_173596.3|SLC39A5|chr12|+	104283.4	56237739	chr12:56237588-56237807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_004077.3|CS|chr12|-	168.5	56272924	chr12:56271699-56273254	0.12	0.06	0.13	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.12	0.08	0	0	0.05	0	0.07	0	0.07	0	0	0.09	0	0	0.04	0	0.03	0	0.02	0.0347058823529412	0.0516535835312721
NM_014255.7|CNPY2|chr12|-	26685.5	56310432	chr12:56309844-56310595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.000882352941176471	0.00287902241281237
NM_001686.4|ATP5F1B|chr12|-	2310425.1	56638272	chr12:56638175-56638423	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001320194.2|NACA|chr12|-	234668.1	56712757	chr12:56712427-56712908	0.44	0.51	0.49	0.49	0.48	0.51	0.56	0.55	0.49	0.44	0.48	0.54	0.47	0.41	0.46	0.46	0.47	0.44	0.45	0.43	0.51	0.44	0.44	0.45	0.47	0.31	0.35	0.39	0.47	0.5	0.53	0.52	0.53	0.54	0.471176470588235	0.0545374325651854
XM_011538677.3|SHMT2|chr12|+	210838.1	57234726	chr12:57234234-57234903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.1	0.09	0.08	0.08	0.06	0.07	0	0.08	0.08	0.05	0	0.09	0	0	0	0	0	0	0	0	0.0247058823529412	0.0371919911644109
XM_011538675.3|SHMT2|chr12|+	15257.4	57234385	chr12:57234234-57234731	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0.323529411764706	0.474858079933817
NM_001166356.2|SHMT2|chr12|+	210838.1	57234726	chr12:57234234-57234903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.1	0.09	0.08	0.08	0.06	0.07	0	0.08	0.08	0.05	0	0.09	0	0	0	0	0	0	0	0	0.0247058823529412	0.0371919911644109
NR_158984.1|HMGA2-AS1|chr12|-	445.9	65859937	chr12:65855947-65860088	0.34	0.23	0	0.17	0.17	0.15	0.17	0.26	0.15	0.2	0	0.21	0.29	0.05	0.1	0.03	0.2	0.24	0.23	0.25	0.07	0.34	0	0	0.2	0.13	0.1	0.1	0.21	0.19	0.14	0.16	0	0	0.149411764705882	0.09942078242807
NM_001282606.2|TMBIM4|chr12|-	437.8	66137836	chr12:66135846-66138166	0.1	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.13	0	0.05	0.04	0.04	0.04	0.02	0	0.06	0.06	0	0.05	0.17	0.09	0	0.03	0.04	0.03	0	0.05	0.0311764705882353	0.041834066579281
XM_005269037.4|NUP107|chr12|+	225.5	68742529	chr12:68742355-68742688	0.96	0.64	0	0.55	0.92	0.73	0	0.84	0.83	0.89	0.65	0	0.53	0.5	0.64	0.77	0.67	1	0.87	0.98	0.53	0.94	0.61	0	0	0.22	0	0	0.77	0.24	1	0.57	0.9	0.63	0.57	0.349995670968899
NM_020401.4|NUP107|chr12|+	50.8	68742688	chr12:68742355-68745809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.00117647058823529	0.00685994340570035
NM_001354998.2|SLC35E3|chr12|+	49	68760191	chr12:68760040-68760391	0.23	0	0.02	0	0	0	0	0	0	0	0	0.07	0.05	0.06	0.07	0.01	0.07	0.07	0	0.02	0	0.02	0.03	0.05	0	0	0.01	0.04	0.02	0	0.04	0.09	0.04	0.15	0.0341176470588235	0.0491206089599766
XM_005268590.3|CPSF6|chr12|+	676.5	69269939	chr12:69269512-69273157	0.04	0.02	0.03	0.03	0.02	0.03	0.04	0.03	0.02	0.05	0.03	0.03	0.04	0.03	0.03	0.07	0.04	0.03	0.03	0.04	0.03	0.03	0.02	0.02	0.02	0	0.04	0.07	0.03	0.03	0.03	0.03	0.02	0.04	0.0320588235294118	0.0132068420662115
NR_024072.2|MRS2P2|chr12|-	5.8	71850832	chr12:71848292-71850983	0.01	0.01	0	0	0.01	0.04	0	0	0	0.02	0.02	0.05	0.06	0	0	0	0	0	0	0.05	0	0	0	0	0	0.04	0.01	0.04	0	0	0.03	0	0	0	0.0114705882352941	0.0182793728659045
NM_004537.7|NAP1L1|chr12|-	20902.3	76046170	chr12:76036585-76048464	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00764705882352941	0.00553710542990555
NM_139207.5|NAP1L1|chr12|-	38596.9	76047567	chr12:76044745-76047718	0.07	0.03	0.05	0.06	0.06	0.07	0.06	0.08	0.07	0.07	0.07	0.07	0.07	0.09	0.09	0.07	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.05	0.05	0.1	0.11	0.06	0.07	0.07	0.07	0.06	0.06	0.07	0.0652941176470588	0.0158085696203131
XM_017019340.2|NAP1L1|chr12|-	28780	76047567	chr12:76046171-76047718	0.04	0.01	0.02	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.08	0.07	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.0338235294117647	0.0123127689036571
XM_017019338.1|NAP1L1|chr12|-	28802.6	76047567	chr12:76046172-76047718	0.04	0.01	0.02	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.08	0.07	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.0338235294117647	0.0123127689036571
XM_024448983.1|NAP1L1|chr12|-	75066	76047389	chr12:76046173-76048464	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00246182981958665
